"dia","fecha","plataforma","formato","estado","url","reproducciones_24h","retencion_3s_pct","guardados","compartidos","comentarios_clave","dms","clics_landing","registros","pagos","dia1_completado","aprendizaje"
"1","","Instagram Reels","","LISTO","","","","","","","","","","","",""
"1","","TikTok","","LISTO","","","","","","","","","","","",""
"1","","Facebook Reels","","LISTO","","","","","","","","","","","",""
"2","","Instagram Stories","","LISTO","","","","","","","","","","","",""
"3","","Instagram Carrusel","","LISTO","","","","","","","","","","","",""
"4","","Instagram Reels","","LISTO","","","","","","","","","","","",""
"4","","TikTok","","LISTO","","","","","","","","","","","",""
"5","","Instagram Feed","","LISTO","","","","","","","","","","","",""
"6","","Instagram Reels","","LISTO","","","","","","","","","","","",""
"6","","TikTok","","LISTO","","","","","","","","","","","",""
"7","","Instagram Reels","","LISTO","","","","","","","","","","","",""
