id,priority,format,size,title,text_on_image,usage,source_content,status
VIS-001,Alta,Reel cover,1080x1920,No necesitas motivacion,"No te falta motivacion. Te falta estructura.",Dia 1 Reel,week_1_content_pack.md,Pendiente
VIS-002,Alta,Reel cover,1080x1920,La mayoria reacciona,"La mayoria no vive. Reacciona.",Dia 2 Reel,week_1_content_pack.md,Pendiente
VIS-003,Alta,Reel cover,1080x1920,Dia 1,"No pienses en 100 dias. Piensa en Dia 1.",Dia 3 Reel,week_1_content_pack.md,Pendiente
VIS-004,Alta,Story,1080x1920,Encuesta control,"Estas reaccionando mas de lo que diriges?",Dia 1 Story,alpha_14_day_publish_plan.csv,Pendiente
VIS-005,Alta,Carrusel cover,1080x1350,Formula Metodo,"Control + Fortaleza + Direccion",Dia 3 Carrusel,week_1_content_pack.md,Pendiente
VIS-006,Alta,Post,1200x630,Oferta Alpha,"10 cupos - 14 dias - USD 9",Post venta Alpha,social_launch_playbook.md,Pendiente
VIS-007,Alta,Story,1080x1920,Ruta Alpha,"Pago -> Acceso -> Dia 0 -> Dia 1 -> Dia 7",Story confianza,CONTENT_COMMAND_CENTER.md,Pendiente
VIS-008,Media,Reel cover,1080x1920,Volver,"Fallar no destruye el Metodo. No volver si.",Dia 4 Reel,week_1_content_pack.md,Pendiente
VIS-009,Media,Reel cover,1080x1920,KPI Dia 7,"El KPI real es Dia 7.",Dia 7 Reel,week_1_content_pack.md,Pendiente
VIS-010,Media,Carrusel cover,1080x1350,No es para todos,"Este Metodo no es para todo el mundo.",Dia 6 Carrusel,week_1_content_pack.md,Pendiente
VIS-011,Alta,Reel cover,1080x1920,Prueba Dia 1,"DIA 1/100 - Decidir / Ejecutar / Registrar",Reel prueba de Metodo,CONVERSION_CONTENT_PLAYBOOK.md,Pendiente
VIS-012,Alta,Story,1080x1920,Barra Dia 7,"Dia 0 -> Dia 1 -> Dia 7",Story confianza,CONVERSION_CONTENT_PLAYBOOK.md,Pendiente
VIS-013,Alta,Story,1080x1920,CTA Control,"Comenta CONTROL y te envio la ruta",Captura para comentarios,CONVERSION_CONTENT_PLAYBOOK.md,Pendiente
VIS-014,Alta,Post,1200x630,Alpha Oferta,"10 cupos / 14 dias / USD 9",Post conversion Alpha,CONVERSION_CONTENT_PLAYBOOK.md,Pendiente
VIS-015,Media,Carrusel slide,1080x1350,No teoria,"Guardar contenido no es avanzar.",Carrusel objecion,COMPETITIVE_CONTENT_RESEARCH.md,Pendiente
VIS-016,Media,Reel cover,1080x1920,Facturar estructura,"Si quieres facturar deja de improvisar.",Reel negocio con estructura,persuasion_angle_matrix.csv,Pendiente
VIS-017,Alta,Reel cover,1080x1920,Tutorial abandonar,"Si abandonas rapido: 1 nombra / 2 ejecuta / 3 registra",Reel paso a paso,step_by_step_sales_scripts.md,Pendiente
VIS-018,Alta,Carrusel,1080x1350,3 pasos reaccionando,"3 pasos para dejar de vivir reaccionando",Carrusel tutorial,step_by_step_sales_scripts.md,Pendiente
VIS-019,Alta,Story,1080x1920,Fallaste ayer,"Fallaste ayer? Vuelve asi: identifica / baja / ejecuta",Story tutorial,step_by_step_sales_scripts.md,Pendiente
VIS-020,Alta,Reel cover,1080x1920,Venta Alpha final,"Aprende el paso 1 gratis. Haz el sistema completo en Alpha.",Reel venta final,CONVERSION_CONTENT_PLAYBOOK.md,Pendiente
