day,stage,platform,format,objective,hook,proof,cta,disclosure,primary_metric,status
1,decision,Instagram|TikTok,reel,Presentar una decision real,Llevo meses diciendo que voy a hacerlo. Hoy dejo de anunciarlo y empiezo a registrarlo.,Decision escrita o diario,Que decision llevas posponiendo?,No requerida porque aun no hay oferta,Comentarios,
2,conversation,Stories,encuesta,Convertir el problema en conversacion,Que te hace abandonar mas rapido?,Resultado de encuesta,Responder encuesta,No requerida,Respuestas,
3,day_zero,Instagram|TikTok,carousel_or_reel,Mostrar el mecanismo inicial,Antes de empezar tuve que responder tres preguntas incomodas.,Captura limpia de Dia 0,Escribe DIA0,No requerida,Comentarios_DIA0,
4,minimum_action,Stories,sequence,Ensenar la accion minima,Mi meta para hoy cabe en 15 minutos.,Checklist o temporizador,Comparte tu accion minima,No requerida,Respuestas,
5,identity,Instagram,caption,Conectar ejecucion con identidad,No estoy contando dias. Estoy reuniendo pruebas de que cumplo.,Diario con una evidencia,Que prueba quieres tener esta semana?,No requerida,Guardados,
6,resistance,Instagram|TikTok,reel,Mostrar friccion y regreso,Hoy no tenia ganas. Este era exactamente el dia que necesitaba registrar.,Tarea y estado parcial o completo,Comenta VOLVER,No requerida,Comentarios_VOLVER,
7,review,Stories,sequence,Preparar la revision de siete dias,Manana no voy a mostrar perfeccion. Voy a mostrar el registro.,Dashboard sin datos sensibles,Quieres ver la revision?,No requerida,Respuestas,
8,evidence,Instagram|TikTok,reel,Presentar primera prueba e invitar,No cambie toda mi vida en siete dias. Pero ya tengo una prueba que antes no tenia.,Dashboard y diario,Empieza tu propio Dia 1 con mi enlace,Contenido afiliado visible dentro y en descripcion,Link_clicks,
9,faq,Stories,questions,Responder objeciones,Que quieres saber antes de empezar?,Caja de preguntas,Deja tu pregunta,Contenido afiliado si incluye enlace,Preguntas,
10,product_demo,Instagram,carousel,Mostrar como se usa,Esto es lo que ocurre despues de entrar.,Pantallas Dia 0 dashboard diario,Guarda la ruta,Contenido afiliado visible,Guardados,
11,objection,Instagram|TikTok,reel,Romper la objecion de abandono,No necesitas prometer 100 dias. Necesitas ejecutar el primero.,Accion Dia 1,Comenta DIA1,Contenido afiliado visible,Comentarios_DIA1,
12,live,Instagram|TikTok,live,Resolver dudas y mostrar proceso,Te muestro mi registro sin ocultar los dias dificiles.,Diario y dashboard,Pregunta en vivo,Repetir divulgacion periodicamente,Live_viewers,
13,conversion,Instagram|TikTok,reel,Explicar planes y convertir,Si estas cansado de empezar y abandonar empieza por Dia 1.,Comparacion clara de planes,Elige tu plan con mi enlace,Contenido afiliado visible dentro y en descripcion,Purchases,
14,follow_up,Stories|DM,sequence,Recuperar interesados y cerrar,Si guardaste esto y no empezaste hoy te dejo la ruta exacta.,Pago a Dia 0 a Dia 1 a Dia 7,Responde EMPEZAR,Contenido afiliado si incluye enlace,DMs_and_purchases,
