"dia","objetivo","plataformas","formato","archivo_o_toma","hook","cta","estado","url_publicada"
"1","Identificar el problema","Instagram Reels; TikTok; Facebook Reels","Video 9:16","01_reel_estructura.png + Guion 1","No te falta motivacion. Te falta estructura.","Comenta CONTROL","LISTO",""
"2","Abrir conversacion","Instagram Stories; Facebook Stories","Story 9:16","02_story_patron.png","Que patron quieres romper?","Responde CONTROL","LISTO",""
"3","Explicar el mecanismo","Instagram; Facebook","Carrusel 4:5","03_carrusel_01.png a 03_carrusel_07.png","No necesitas una personalidad nueva. Necesitas estructura.","Comenta CONTROL","LISTO",""
"4","Reducir la meta","Instagram Reels; TikTok","Video 9:16","Guion 2 + toma de diario","No pienses en 100 dias. Piensa en Dia 1.","Escribe DIA1","LISTO",""
"5","Presentar la oferta","Instagram; Facebook","Post 4:5","04_post_alpha.png","14 dias para producir tu primera prueba.","Entra al Alpha por USD 9","LISTO",""
"6","Romper miedo al fallo","Instagram Reels; TikTok; Facebook Reels","Video 9:16","05_reel_volver.png + Guion 3","Fallar un dia no destruye el proceso. No volver si.","Comenta VOLVER","LISTO",""
"7","Mostrar la primera meta","Instagram Reels; TikTok","Video 9:16","Guion 4 + captura dashboard","El KPI no es sentirte motivado. Es llegar a Dia 7.","Comenta DIA7","LISTO",""
"8","Mostrar el producto","Instagram Stories; Facebook Stories","Secuencia 9:16","Grabacion de pantalla","Asi se ve una tarea real dentro del Metodo.","Escribe CONTROL","PENDIENTE",""
"9","Ensenar la regla de una meta","Instagram; Facebook","Carrusel 4:5","Adaptar 03_carrusel","Intentar cambiar todo es otra forma de abandonar.","Guarda y comenta CONTROL","PENDIENTE",""
"10","Explicar parcial vs completado","Instagram Reels; TikTok","Video 9:16","Guion 5 + estados del dashboard","Parcial mantiene la racha, pero no regala progreso.","Escribe DIA1","LISTO",""
"11","Conectar con un caso de uso","Facebook; Instagram","Post con foto","Foto diario vertical","Yo tambien confundia pensar con avanzar.","Comenta CONTROL","PENDIENTE",""
"12","Abrir aplicaciones","Instagram Reels; TikTok","Video 9:16","Guion 6","El mismo Metodo puede ordenar disciplina, salud o negocio.","Escribe tu unica meta","LISTO",""
"13","Resolver objeciones","Instagram Stories; Facebook Stories","Preguntas 9:16","Texto y captura de acceso","Que pasa despues de pagar?","Envia PREGUNTA por DM","PENDIENTE",""
"14","Cerrar la primera cohorte","Instagram Reels; TikTok; Facebook","Video 9:16","Guion 7 + 04_post_alpha.png","No estoy buscando espectadores. Estoy buscando 10 personas que ejecuten.","Entra al Alpha","LISTO",""
